elapsed_seconds,present_gap_ms,frame_id,width,height,bitmap_allocations,native_crop_ms,generation2_collections
7.2451,16.573,393,909,819,2,2.709,1
7.2616,16.486,394,909,819,2,3.314,1
7.2807,19.055,395,909,819,2,3.771,1
7.2985,17.826,396,909,819,2,3.971,1
7.3161,17.558,397,909,819,2,4.262,1
7.3338,17.755,398,909,819,2,3.658,1
7.3519,18.076,399,909,819,2,3.692,1
7.3663,14.437,400,909,819,2,2.284,1
7.3863,19.944,401,909,819,2,3.550,1
7.4015,15.239,402,909,819,2,2.310,1
7.4200,18.509,403,909,819,2,3.681,1
7.4367,16.685,404,909,819,2,2.341,1
7.4564,19.727,405,909,819,2,2.832,1
7.4736,17.208,406,909,819,2,2.338,1
7.4959,22.291,407,909,819,2,2.775,1
7.5128,16.844,408,909,819,2,3.000,1
7.5300,17.216,409,909,819,2,3.057,1
7.5489,18.903,410,909,819,2,4.522,1
7.5653,16.428,411,909,819,2,3.001,1
7.5829,17.544,412,909,819,2,3.898,1
7.5989,15.989,413,909,819,2,2.318,1
7.6178,18.917,414,909,819,2,3.913,1
7.6330,15.236,415,909,819,2,2.488,1
7.6540,20.947,416,909,819,2,3.814,1
7.6693,15.296,417,909,819,2,2.370,1
7.6870,17.760,418,909,819,2,3.643,1
7.7064,19.370,419,909,819,2,2.703,1
7.7243,17.968,420,909,819,2,2.766,1
7.7420,17.628,421,909,819,2,2.320,1
7.7631,21.105,422,909,819,2,2.435,1
7.7756,12.551,423,909,819,2,2.355,1
7.7946,18.961,424,909,819,2,2.366,1
7.8109,16.307,425,909,819,2,2.329,1
7.8302,19.345,426,910,819,2,3.260,1
7.8457,15.468,427,910,819,2,3.056,1
7.8630,17.332,428,910,819,2,3.486,1
7.8793,16.247,429,910,819,2,2.834,1
7.8972,17.912,430,910,819,2,2.898,1
7.9173,20.104,431,910,819,2,3.681,1
7.9332,15.931,432,910,819,2,2.277,1
7.9541,20.907,433,909,819,2,3.980,1
7.9746,20.411,434,908,819,2,3.171,1
7.9929,18.332,435,908,819,2,2.844,1
8.0150,22.072,436,908,819,2,3.659,1
8.0318,16.806,437,908,819,2,3.254,1
8.0568,25.011,438,908,819,2,3.314,1
8.0791,22.303,439,908,819,2,3.332,1
8.0981,19.016,440,908,819,2,2.872,1
8.1181,19.966,441,908,819,2,4.348,1
8.1337,15.590,442,908,819,2,2.519,1
8.1518,18.121,443,908,819,2,2.993,1
8.3612,209.410,444,908,819,2,2.489,1
8.3821,20.936,445,908,819,2,3.888,1
8.4015,19.380,446,935,826,2,2.358,1
8.4234,21.879,447,935,823,2,3.797,1
8.4411,17.750,448,935,821,2,2.905,1
8.4623,21.204,449,935,819,2,2.320,1
8.4800,17.641,450,934,819,2,2.369,1
8.5000,20.024,451,934,819,2,2.836,1
8.5178,17.809,452,934,819,2,3.381,1
8.5350,17.227,453,934,819,2,2.499,1
8.5592,24.114,454,933,819,2,2.321,1
8.5743,15.195,455,933,819,2,2.306,1
8.5965,22.166,456,933,819,2,2.772,1
8.6138,17.247,457,932,819,2,2.512,1
8.6313,17.557,458,932,819,2,2.996,1
8.6505,19.222,459,932,819,2,4.313,1
8.6691,18.527,460,931,819,2,2.297,1
8.6895,20.414,461,931,819,2,2.587,1
8.7052,15.697,462,931,819,2,2.368,1
8.7278,22.608,463,930,819,2,2.839,1
8.7440,16.220,464,930,819,2,2.305,1
8.7651,21.114,465,929,819,2,3.216,1
8.7858,20.675,466,929,819,2,3.653,1
8.8051,19.283,467,928,819,2,2.535,1
8.8251,20.035,468,928,819,2,2.367,1
8.8431,18.038,469,928,819,2,2.302,1
8.8627,19.563,470,927,819,2,2.402,1
8.8801,17.419,471,926,819,2,2.531,1
8.8996,19.487,472,926,819,2,2.636,1
8.9192,19.552,473,925,819,2,3.959,1
8.9366,17.470,474,925,819,2,2.607,1
8.9582,21.564,475,924,819,2,3.361,1
8.9745,16.262,476,924,819,2,2.339,1
8.9949,20.442,477,923,819,2,2.733,1
9.0124,17.470,478,923,819,2,2.336,1
9.0323,19.879,479,922,819,2,2.793,1
9.0513,19.088,480,922,819,2,3.453,1
9.0728,21.484,481,921,819,2,2.520,1
9.0929,20.069,482,921,819,2,2.383,1
9.1100,17.117,483,920,819,2,2.345,1
9.1281,18.057,484,920,819,2,2.439,1
9.1457,17.598,485,919,819,2,2.305,1
9.1670,21.336,486,919,819,2,2.836,1
9.1883,21.293,487,918,819,2,3.634,1
9.2077,19.349,488,918,819,2,2.622,1
9.2268,19.148,489,917,819,2,2.225,1
9.2451,18.314,490,917,819,2,2.323,1
9.2666,21.458,491,916,819,2,3.251,1
9.2829,16.338,492,916,819,2,3.008,1
9.3060,23.046,493,915,819,2,2.565,1
9.3234,17.447,494,915,819,2,2.528,1
9.3450,21.631,495,914,819,2,2.262,1
9.3632,18.218,496,914,819,2,2.450,1
9.3847,21.440,497,913,819,2,4.023,1
9.4011,16.431,498,913,819,2,2.667,1
9.4239,22.820,499,912,819,2,2.893,1
9.4408,16.838,500,912,819,2,2.356,1
9.4593,18.545,501,912,819,2,2.298,1
9.4788,19.440,502,911,819,2,2.349,1
9.4969,18.096,503,911,819,2,2.910,1
9.5148,17.974,504,910,819,2,2.693,1
9.5326,17.757,505,910,819,2,3.031,1
9.5510,18.438,506,910,819,2,4.117,1
9.5694,18.353,507,909,819,2,2.266,1
9.5907,21.355,508,909,819,2,2.704,1
9.6101,19.390,509,909,819,2,2.479,1
9.6297,19.533,510,908,819,2,2.266,1
9.6485,18.808,511,908,819,2,2.983,1
9.6653,16.795,512,908,819,2,2.849,1
9.6834,18.181,513,908,819,2,3.782,1
9.7030,19.566,514,908,819,2,2.630,1
9.7226,19.541,515,908,819,2,2.613,1
9.7421,19.593,516,908,819,2,2.282,1
9.7626,20.445,517,908,819,2,2.278,1
9.7793,16.748,518,908,819,2,2.632,1
9.7982,18.860,519,907,818,2,2.891,1
9.8191,20.910,520,907,778,2,4.733,1
9.8390,19.889,521,907,778,2,2.466,1
9.8608,21.759,522,906,778,2,2.602,1
9.9517,90.926,523,906,778,2,3.297,1
9.9631,11.439,524,906,778,2,2.393,1
9.9787,15.610,525,902,536,2,2.339,1
9.9930,14.232,526,902,536,2,2.092,1
10.0088,15.833,527,902,536,2,2.641,1
10.0285,19.656,528,902,536,2,2.298,1
10.0485,20.089,529,902,536,2,4.410,1
10.0689,20.392,530,902,536,2,2.587,1
10.0978,28.901,531,903,536,2,3.348,1
10.1238,25.922,532,903,536,2,3.466,1
10.1469,23.141,533,903,536,2,2.989,1
10.1647,17.831,534,903,536,2,2.669,1
10.1858,21.075,535,903,536,2,4.619,1
10.2036,17.775,536,903,536,2,3.077,1
10.2262,22.633,537,903,536,2,2.728,1
10.2507,24.460,538,903,536,2,4.285,1
10.2682,17.551,539,903,536,2,2.151,1
10.2928,24.586,540,903,536,2,3.164,1
10.3095,16.645,541,903,536,2,2.493,1
10.3244,14.953,542,903,536,2,2.099,1
10.3408,16.407,543,903,536,2,2.149,1
10.3562,15.385,544,903,536,2,2.154,1
10.3703,14.134,545,903,536,2,2.216,1
10.3887,18.412,546,903,536,2,2.556,1
10.4054,16.681,547,903,536,2,2.517,1
10.4229,17.462,548,903,536,2,2.199,1
10.4379,15.062,549,903,536,2,2.303,1
10.4551,17.182,550,903,536,2,2.218,1
10.4692,14.101,551,903,536,2,2.485,1
10.4865,17.238,552,903,536,2,2.862,1
10.5015,15.072,553,903,536,2,2.482,1
10.5185,16.939,554,903,536,2,2.383,1
10.5323,13.863,555,903,536,2,3.054,1
10.5476,15.263,556,903,536,2,3.215,1
10.5628,15.198,557,902,536,2,2.211,1
10.5765,13.675,558,902,536,2,2.483,1
10.5945,17.978,559,902,536,2,2.064,1
10.6084,13.938,560,902,536,2,2.267,1
10.6287,20.264,561,902,536,2,2.307,1
10.6417,13.013,562,902,536,2,2.140,1
10.6597,18.076,563,902,536,2,2.057,1
10.6752,15.444,564,902,536,2,2.068,1
10.6917,16.556,565,902,536,2,2.441,1
10.7084,16.634,566,902,536,2,2.114,1
10.7244,15.974,567,902,536,2,2.056,1
10.7414,17.086,568,902,536,2,2.227,1
10.7585,17.056,569,902,536,2,2.056,1
10.7748,16.329,570,902,536,2,2.125,1
10.7914,16.602,571,902,536,2,2.059,1
10.8084,16.998,572,902,536,2,2.076,1
10.8246,16.206,573,902,536,2,2.139,1
10.8422,17.556,574,902,536,2,2.482,1
10.8579,15.667,575,902,536,2,2.113,1
10.8750,17.123,576,902,536,2,2.250,1
10.8916,16.624,577,902,536,2,2.078,1
10.9084,16.813,578,902,536,2,2.237,1
10.9269,18.516,579,902,536,2,2.037,1
10.9415,14.585,580,902,536,2,2.229,1
10.9583,16.809,581,902,536,2,2.046,1
10.9755,17.126,582,902,536,2,2.513,1
10.9915,16.034,583,902,536,2,2.416,1
11.0087,17.219,584,902,536,2,2.681,1
11.0244,15.742,585,902,536,2,2.430,1
11.0416,17.126,586,902,536,2,2.088,1
11.0586,17.063,587,902,536,2,2.033,1
11.0756,17.007,588,902,536,2,2.129,1
11.0923,16.635,589,902,536,2,2.316,1
11.1084,16.164,590,902,536,2,2.311,1
11.1251,16.627,591,902,536,2,2.326,1
11.1419,16.872,592,902,536,2,2.154,1
11.1601,18.154,593,902,536,2,2.060,1
11.1751,14.989,594,902,536,2,2.060,1
11.1938,18.711,595,902,536,2,2.025,1
11.2091,15.292,596,902,536,2,2.023,1
11.2272,18.141,597,902,536,2,2.038,1
11.2421,14.906,598,902,536,2,2.671,1
11.2583,16.179,599,902,536,2,2.019,1
11.2754,17.122,600,902,536,2,2.345,1
11.2986,23.118,601,902,536,2,2.933,1
11.3158,17.283,602,902,536,2,3.327,1
11.3290,13.132,603,902,536,2,2.214,1
11.3431,14.144,604,902,536,2,2.379,1
11.3604,17.244,605,902,536,2,2.145,1
11.3764,16.076,606,902,538,2,2.251,1
11.3921,15.666,607,902,541,2,2.112,1
11.4092,17.076,608,902,543,2,2.321,1
11.4289,19.690,609,902,545,2,2.084,1
11.4426,13.749,610,902,548,2,2.065,1
11.4619,19.313,611,902,550,2,2.051,1
11.4774,15.445,612,902,552,2,2.234,1
11.4931,15.690,613,902,554,2,2.096,1
11.5097,16.615,614,902,556,2,2.874,1
11.5254,15.742,615,902,558,2,2.104,1
11.5427,17.284,616,902,559,2,2.506,1
11.5604,17.665,617,902,561,2,2.453,1
11.5760,15.596,618,902,562,2,2.091,1
11.5931,17.147,619,902,564,2,2.027,1
11.6096,16.446,620,902,565,2,2.260,1
11.6272,17.665,621,902,566,2,2.344,1
11.6428,15.603,622,902,568,2,2.118,1
11.6596,16.733,623,902,569,2,2.080,1
11.6762,16.597,624,902,570,2,2.301,1
11.6929,16.728,625,902,570,2,2.065,1
11.7094,16.547,626,902,571,2,2.149,1
11.7285,19.053,627,902,572,2,2.433,1
11.7429,14.415,628,902,572,2,2.631,1
11.7603,17.396,629,902,572,2,2.450,1
11.7755,15.205,630,902,572,2,2.663,1
11.7923,16.761,631,902,536,2,2.447,1
11.8091,16.887,632,902,536,2,2.662,1
11.8254,16.230,633,902,536,2,2.492,1
11.8418,16.395,634,902,536,2,2.278,1
11.8600,18.229,635,902,536,2,2.325,1
11.8762,16.242,636,900,536,2,2.365,1
11.8957,19.507,637,896,536,2,2.416,1
11.9099,14.124,638,898,536,2,2.420,1
11.9256,15.705,639,893,536,2,2.133,1
11.9427,17.160,640,902,536,2,2.358,1
11.9598,17.108,641,895,536,2,2.110,1
11.9779,18.104,642,897,536,2,2.513,1
11.9935,15.547,643,902,536,2,2.080,1
12.0097,16.228,644,900,536,2,2.847,1
12.0267,16.957,645,901,536,2,2.511,1
12.0422,15.486,646,901,536,2,2.300,1
12.0583,16.175,647,901,536,2,2.494,1
12.0747,16.343,648,901,536,2,2.102,1
12.0939,19.178,649,901,536,2,2.484,1
12.1102,16.340,650,901,536,2,2.369,1
12.1266,16.373,651,900,536,2,2.545,1
12.1430,16.453,652,896,536,2,2.785,1
